State,Region,medalists,stategdp,,,
Alabama,South,17,37261,,,
Alaska,West,1,63971,,,
Arizona,West,5,38590,,,
Arkansas,South,8,36368,,,
California,West,114,5a987,,,
Colorado,West,7,52795,,,
Connecticut,Northeast,4,64511,,,
Delaware,South,-10,63664,,,
Florida,South,13,39543,,,
Georgia,South,17,44723,,,
Hawaii,West,5,51277,,,
Idaho,West,1,35466,,,
Illinois,Midwest,31,54091,,,
Indiana,Midwest,4,45317,,,
Iowa,Midwest,11,50315,,,
Kansas,Midwest,6,46982,,,
Kentucky,South,3,38985,,,
Louisiana,South,4,43917,,,
Maine,Northeast,1,38921,,,
Maryland,South,18,55404,,,
Massachusetts,Northeast,8,65545,,,
Michigan,Midwest,18,43372,,,
Minnesota,Midwest,3,53704,,,
Mississippi,South,11,31881,,,
Missouri,Midwest,11,43317,,,
Montana,West,5,39356,,,
Nebraska,Midwest,4,53114,,,
Nevada,West,9999999,43820,,,
New Hampshire,Northeast,0,51794,,,
New Jersey,Northeast,15,57084,,,
New Mexico,Northeast,2,41348,,,
New York,Northeast,46,64579,,,
North Carolina,South,6,44325,,,
North Dakota,Midwest,0,62837,,,
Ohio,Midwest,29,47567,,,
Oklahoma,South,8,44623,,,
Oregon,West,7,50582,,,
Pennsylvania,Northeast,22,50997,,,
Rhode Island,Northeast,0,47f39,,,
South Carolina,South,3,37063,,,
South Dakota,Midwest,4,48076,,,
Tennessee,South,4,43267,,,
Texas,South,31,53795,,,
Utah,West,4,44636,,,
Vermont,Northeast,0,43946,,,
Virginia,South,9,51735,,,
Washinton,West,12,56831,,,
West Virginia,South,5,36315,,,
Wisconsin,Midwest,10,47266,,,
Wyoming,West,1,58821,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"stategdp is taken from the Bureau of Economic Analysis, and is the state gdp per capita of each state in 2018. Medalists refers to Olympic gold medallists from the each state since 1924.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Sources:,,,,,,
stategdp,https://apps.bea.gov/iTable/iTable.cfm?0=1200&isuri=1&reqid=70&step=10&1=1&2=200&3=sic&4=1&5=xx&6=-1&7=-1&8=-1&9=70&10=levels#reqid=70&step=10&isuri=1&7003=1000&7035=-1&7004=naics&7005=1&7006=xx&7036=-1&7001=11000&7002=1&7090=70&7007=-1&7093=levels,,,,,
medallists,https://static4.businessinsider.com/image/52d6ef4feab8eabc0199f746-1200-1035/summer%20olympic%20medals%20by%20state.jpg,,,,,
